"Rate","Date","Type","Mobility","B117_exports","NonB117_exports","Vaccinated"
0.0787033078083632,2020-10-08,"Non-SGTF",NA,NA,NA,NA
0.0788610552850411,2020-10-09,"Non-SGTF",NA,NA,NA,NA
0.0694580810490847,2020-10-10,"Non-SGTF",NA,NA,NA,NA
0.053349947228363,2020-10-11,"Non-SGTF",1.17997916578335,0,9633,NA
0.0410617063037101,2020-10-12,"Non-SGTF",NA,NA,NA,NA
0.0243299032360216,2020-10-13,"Non-SGTF",NA,NA,NA,NA
0.0101901378178478,2020-10-14,"Non-SGTF",NA,NA,NA,NA
0.0022099848576167,2020-10-15,"Non-SGTF",NA,NA,NA,NA
0.00632457864711376,2020-10-16,"Non-SGTF",NA,NA,NA,NA
0.00866731343974687,2020-10-17,"Non-SGTF",NA,NA,NA,NA
0.00728479613752675,2020-10-18,"Non-SGTF",1.18020243188817,26,11787,NA
0.0101406127637732,2020-10-19,"Non-SGTF",NA,NA,NA,NA
0.0190875361631454,2020-10-20,"Non-SGTF",NA,NA,NA,NA
0.0355421296737152,2020-10-21,"Non-SGTF",NA,NA,NA,NA
0.0496600666583971,2020-10-22,"Non-SGTF",NA,NA,NA,NA
0.0597662477410782,2020-10-23,"Non-SGTF",NA,NA,NA,NA
0.0705575026912627,2020-10-24,"Non-SGTF",NA,NA,NA,NA
0.0736353474781007,2020-10-25,"Non-SGTF",1.17693827978344,276,11216,NA
0.0646455239198271,2020-10-26,"Non-SGTF",NA,NA,NA,NA
0.0570379766899092,2020-10-27,"Non-SGTF",NA,NA,NA,NA
0.0430066750064659,2020-10-28,"Non-SGTF",NA,NA,NA,NA
0.0269942134465712,2020-10-29,"Non-SGTF",NA,NA,NA,NA
0.0156928276621327,2020-10-30,"Non-SGTF",NA,NA,NA,NA
0.00793305830945161,2020-10-31,"Non-SGTF",NA,NA,NA,NA
0.00828564707635619,2020-11-01,"Non-SGTF",1.18302746722135,595,11158,NA
0.0139768475387502,2020-11-02,"Non-SGTF",NA,NA,NA,NA
0.0158658670603115,2020-11-03,"Non-SGTF",NA,NA,NA,NA
0.0201066029797207,2020-11-04,"Non-SGTF",NA,NA,NA,NA
0.0237891294631304,2020-11-05,"Non-SGTF",NA,NA,NA,NA
0.021149471961735,2020-11-06,"Non-SGTF",NA,NA,NA,NA
0.0169876023204368,2020-11-07,"Non-SGTF",NA,NA,NA,NA
0.0193201990932324,2020-11-08,"Non-SGTF",1.17474880651906,1286,8746,NA
0.0173154551029039,2020-11-09,"Non-SGTF",NA,NA,NA,NA
0.0210777527753287,2020-11-10,"Non-SGTF",NA,NA,NA,NA
0.0220311043847688,2020-11-11,"Non-SGTF",NA,NA,NA,NA
0.0220624098359279,2020-11-12,"Non-SGTF",NA,NA,NA,NA
0.0224167308097193,2020-11-13,"Non-SGTF",NA,NA,NA,NA
0.0220529310766207,2020-11-14,"Non-SGTF",NA,NA,NA,NA
0.0123894233597001,2020-11-15,"Non-SGTF",1.15906280069259,1559,7173,NA
0.0108942875092798,2020-11-16,"Non-SGTF",NA,NA,NA,NA
0.0033377273479329,2020-11-17,"Non-SGTF",NA,NA,NA,NA
-0.0041336282361247,2020-11-18,"Non-SGTF",NA,NA,NA,NA
-0.0130262833005368,2020-11-19,"Non-SGTF",NA,NA,NA,NA
-0.023734570914598,2020-11-20,"Non-SGTF",NA,NA,NA,NA
-0.034578370737178,2020-11-21,"Non-SGTF",NA,NA,NA,NA
-0.0402660605075063,2020-11-22,"Non-SGTF",1.16205320234129,2284,5355,NA
-0.0539923590918685,2020-11-23,"Non-SGTF",NA,NA,NA,NA
-0.0666277569433436,2020-11-24,"Non-SGTF",NA,NA,NA,NA
-0.0751411112378652,2020-11-25,"Non-SGTF",NA,NA,NA,NA
-0.0790139471972734,2020-11-26,"Non-SGTF",NA,NA,NA,NA
-0.0771969176859525,2020-11-27,"Non-SGTF",NA,NA,NA,NA
-0.0725241556112777,2020-11-28,"Non-SGTF",NA,NA,NA,NA
-0.0653919508202271,2020-11-29,"Non-SGTF",1.16404114194044,5669,6541,NA
-0.0542758560294745,2020-11-30,"Non-SGTF",NA,NA,NA,NA
-0.0440409543045447,2020-12-01,"Non-SGTF",NA,NA,NA,NA
-0.0389980637994859,2020-12-02,"Non-SGTF",NA,NA,NA,NA
-0.03500848213895,2020-12-03,"Non-SGTF",NA,NA,NA,NA
-0.0341774828846056,2020-12-04,"Non-SGTF",NA,NA,NA,NA
-0.0307184967763948,2020-12-05,"Non-SGTF",NA,NA,NA,NA
-0.0244612774641456,2020-12-06,"Non-SGTF",1.173223494927,12784,7059,NA
-0.0173714009875701,2020-12-07,"Non-SGTF",NA,NA,NA,NA
-0.013081371878721,2020-12-08,"Non-SGTF",NA,NA,NA,NA
-0.00618267816902739,2020-12-09,"Non-SGTF",NA,NA,NA,NA
-0.00208395057453925,2020-12-10,"Non-SGTF",NA,NA,NA,NA
0.0038332248059686,2020-12-11,"Non-SGTF",NA,NA,NA,NA
0.00735579688961911,2020-12-12,"Non-SGTF",NA,NA,NA,NA
0.0103742821444524,2020-12-13,"Non-SGTF",1.18036227057775,22829,6993,NA
0.0142031352706224,2020-12-14,"Non-SGTF",NA,NA,NA,NA
0.019688959220392,2020-12-15,"Non-SGTF",NA,NA,NA,NA
0.0209802046119108,2020-12-16,"Non-SGTF",NA,NA,NA,NA
0.0177385864035584,2020-12-17,"Non-SGTF",NA,NA,NA,NA
0.00959930838816034,2020-12-18,"Non-SGTF",NA,NA,NA,NA
-0.00113526902858002,2020-12-19,"Non-SGTF",NA,NA,NA,NA
-0.00692034449698996,2020-12-20,"Non-SGTF",1.17477343574569,22193,4368,NA
-0.0144435143576552,2020-12-21,"Non-SGTF",NA,NA,NA,NA
-0.0236518332466681,2020-12-22,"Non-SGTF",NA,NA,NA,NA
-0.0230620085281913,2020-12-23,"Non-SGTF",NA,NA,NA,NA
-0.0121455340011198,2020-12-24,"Non-SGTF",NA,NA,NA,NA
-0.0035630384419408,2020-12-25,"Non-SGTF",NA,NA,NA,NA
0.00746821624395536,2020-12-26,"Non-SGTF",NA,NA,NA,NA
0.0145260131915222,2020-12-27,"Non-SGTF",1.14801776849933,23274,2324,NA
0.0183063128650129,2020-12-28,"Non-SGTF",NA,NA,NA,NA
0.0235442766603054,2020-12-29,"Non-SGTF",NA,NA,NA,384
0.0209143830632086,2020-12-30,"Non-SGTF",NA,NA,NA,918
0.0138614056290403,2020-12-31,"Non-SGTF",NA,NA,NA,1770
0.0156030148566548,2021-01-01,"Non-SGTF",NA,NA,NA,2619
0.0176829007974443,2021-01-02,"Non-SGTF",NA,NA,NA,3165
0.016993926808054,2021-01-03,"Non-SGTF",1.13777529759161,22104,1984,3182
0.0194074452755362,2021-01-04,"Non-SGTF",NA,NA,NA,4040
0.0102195310554201,2021-01-05,"Non-SGTF",NA,NA,NA,7080
0.00129114602817964,2021-01-06,"Non-SGTF",NA,NA,NA,14889
-0.0049937342451989,2021-01-07,"Non-SGTF",NA,NA,NA,23498
-0.0204893883279065,2021-01-08,"Non-SGTF",NA,NA,NA,30892
-0.0389191842665509,2021-01-09,"Non-SGTF",NA,NA,NA,35983
-0.0484134253030322,2021-01-10,"Non-SGTF",1.14994465328231,18420,1465,42919
-0.0578927632255633,2021-01-11,"Non-SGTF",NA,NA,NA,47998
-0.0589040322769511,2021-01-12,"Non-SGTF",NA,NA,NA,52480
-0.0555285898877089,2021-01-13,"Non-SGTF",NA,NA,NA,55958
-0.0494777045306103,2021-01-14,"Non-SGTF",NA,NA,NA,57330
-0.0346130738190188,2021-01-15,"Non-SGTF",NA,NA,NA,57519
-0.01992200380668,2021-01-16,"Non-SGTF",NA,NA,NA,58024
-0.0139363593646896,2021-01-17,"Non-SGTF",NA,NA,NA,58579
-0.00809726954254776,2021-01-18,"Non-SGTF",NA,NA,NA,59236
-0.00522562168593443,2021-01-19,"Non-SGTF",NA,NA,NA,63666
-0.00873665820217923,2021-01-20,"Non-SGTF",NA,NA,NA,74429
-0.016507751972997,2021-01-21,"Non-SGTF",NA,NA,NA,82796
-0.0251117690665377,2021-01-22,"Non-SGTF",NA,NA,NA,85249
-0.0317934479341623,2021-01-23,"Non-SGTF",NA,NA,NA,87176
-0.0364266522054399,2021-01-24,"Non-SGTF",NA,NA,NA,87609
-0.0415284870762427,2021-01-25,"Non-SGTF",NA,NA,NA,90141
-0.0446194059505983,2021-01-26,"Non-SGTF",NA,NA,NA,95873
-0.0449338063700132,2021-01-27,"Non-SGTF",NA,NA,NA,104486
-0.0549152410896226,2021-01-28,"Non-SGTF",NA,NA,NA,118673
0.0685929868540346,2020-10-08,"SGTF",NA,NA,NA,NA
0.0689994901310931,2020-10-09,"SGTF",NA,NA,NA,NA
0.0569446920506829,2020-10-10,"SGTF",NA,NA,NA,NA
0.0395080408137096,2020-10-11,"SGTF",1.17997916578335,0,9633,NA
0.0204974338550133,2020-10-12,"SGTF",NA,NA,NA,NA
0.00229506357141752,2020-10-13,"SGTF",NA,NA,NA,NA
-0.0165364418242746,2020-10-14,"SGTF",NA,NA,NA,NA
-0.0265503240365373,2020-10-15,"SGTF",NA,NA,NA,NA
-0.0249795876194071,2020-10-16,"SGTF",NA,NA,NA,NA
-0.0164791425418798,2020-10-17,"SGTF",NA,NA,NA,NA
-0.00931579975499953,2020-10-18,"SGTF",1.18020243188817,26,11787,NA
0.00590142105153262,2020-10-19,"SGTF",NA,NA,NA,NA
0.0214703085695264,2020-10-20,"SGTF",NA,NA,NA,NA
0.0436427608998185,2020-10-21,"SGTF",NA,NA,NA,NA
0.0530478520323016,2020-10-22,"SGTF",NA,NA,NA,NA
0.0546951918109584,2020-10-23,"SGTF",NA,NA,NA,NA
0.0563612404952902,2020-10-24,"SGTF",NA,NA,NA,NA
0.0526761719385239,2020-10-25,"SGTF",1.17693827978344,276,11216,NA
0.0440131879977824,2020-10-26,"SGTF",NA,NA,NA,NA
0.0393348529156257,2020-10-27,"SGTF",NA,NA,NA,NA
0.0292054699180571,2020-10-28,"SGTF",NA,NA,NA,NA
0.0252439397037943,2020-10-29,"SGTF",NA,NA,NA,NA
0.0212108983535946,2020-10-30,"SGTF",NA,NA,NA,NA
0.016128567470039,2020-10-31,"SGTF",NA,NA,NA,NA
0.0186432703296823,2020-11-01,"SGTF",1.18302746722135,595,11158,NA
0.0256539900066216,2020-11-02,"SGTF",NA,NA,NA,NA
0.033676315837232,2020-11-03,"SGTF",NA,NA,NA,NA
0.0399379217059589,2020-11-04,"SGTF",NA,NA,NA,NA
0.0431269222603274,2020-11-05,"SGTF",NA,NA,NA,NA
0.0445813323013725,2020-11-06,"SGTF",NA,NA,NA,NA
0.0433716525319288,2020-11-07,"SGTF",NA,NA,NA,NA
0.0464690034864014,2020-11-08,"SGTF",1.17474880651906,1286,8746,NA
0.0460875889133935,2020-11-09,"SGTF",NA,NA,NA,NA
0.0536147403021913,2020-11-10,"SGTF",NA,NA,NA,NA
0.060856469073861,2020-11-11,"SGTF",NA,NA,NA,NA
0.0625062291571944,2020-11-12,"SGTF",NA,NA,NA,NA
0.0621545214156935,2020-11-13,"SGTF",NA,NA,NA,NA
0.0597959430546888,2020-11-14,"SGTF",NA,NA,NA,NA
0.0461777000863325,2020-11-15,"SGTF",1.15906280069259,1559,7173,NA
0.0371853128610777,2020-11-16,"SGTF",NA,NA,NA,NA
0.0240283032261153,2020-11-17,"SGTF",NA,NA,NA,NA
0.0158120722742734,2020-11-18,"SGTF",NA,NA,NA,NA
0.00708276462341508,2020-11-19,"SGTF",NA,NA,NA,NA
-0.0014330594783884,2020-11-20,"SGTF",NA,NA,NA,NA
-0.00768418783883579,2020-11-21,"SGTF",NA,NA,NA,NA
-0.00815595238763113,2020-11-22,"SGTF",1.16205320234129,2284,5355,NA
-0.012361489957223,2020-11-23,"SGTF",NA,NA,NA,NA
-0.0197802359545595,2020-11-24,"SGTF",NA,NA,NA,NA
-0.0247130130031447,2020-11-25,"SGTF",NA,NA,NA,NA
-0.0224346810207067,2020-11-26,"SGTF",NA,NA,NA,NA
-0.0211363689085904,2020-11-27,"SGTF",NA,NA,NA,NA
-0.016675000349262,2020-11-28,"SGTF",NA,NA,NA,NA
-0.0116545298561225,2020-11-29,"SGTF",1.16404114194044,5669,6541,NA
-0.00535880450704654,2020-11-30,"SGTF",NA,NA,NA,NA
0.00438039555056052,2020-12-01,"SGTF",NA,NA,NA,NA
0.0148136009707817,2020-12-02,"SGTF",NA,NA,NA,NA
0.023814285566544,2020-12-03,"SGTF",NA,NA,NA,NA
