utla,Early_count_elephants,Early_count_all,Early_count_del_21765_6,Late_count_elephants,Late_count_all,Late_count_del_21765_6,Later_count_elephants,Later_count_all,Later_count_del_21765_6,Latest_count_elephants,Latest_count_all,Latest_count_del_21765_6,Jan2021_count_elephants,Jan2021_count_all,Jan2021_count_del_21765_6,arrival_days_later,arrival,growth,mob,cases_pre_nov,cases_pre_jan,pop,S_in_nov,S_in_jan,inc_pre_nov,inc_pre_jan,propu20,u20,early_mob,late_mob,later_mob,latest_mob,Jan2021_mob,latest_internal,Jan2021_internal,map_change_early_late,map_change_late_later,map_change_early_later,map_change_later_latest,map_change_latest_jan2021,map_early,map_late,map_later,map_latest,map_jan2021
E06000011,1,741,4,0,53,0,1,42,1,1,34,1,8,23,8,54,14/11/2020,0.025574745,NA,5098,12483,341173,336075,328690,0.014942566,0.036588476,0.211039561,341173,NA,NA,NA,NA,NA,NA,NA,0.000311358,0.003020094,0.003331452,0.004948716,0.074939863,0.001980139,0.002291497,0.005311591,0.010260306,0.085200169
E06000019,1,43,2,0,3,0,0,4,1,14,25,14,8,14,8,62,06/11/2020,0.044150867,NA,1523,3756,192801,191278,189045,0.007899337,0.019481227,0.212550765,192801,NA,NA,NA,NA,NA,NA,NA,-0.000845185,-0.000701938,-0.001547123,0.401287665,0.066912235,0.025287643,0.024442458,0.02374052,0.425028185,0.49194042
E06000023,5,475,24,1,25,1,10,35,10,35,54,35,86,95,86,56,12/11/2020,0.016763562,NA,8505,19537,463377,454872,443840,0.018354385,0.042162213,0.254613414,463377,NA,NA,NA,NA,NA,NA,NA,0.002783275,0.057214805,0.05999808,0.22716805,0.352631759,0.010712023,0.013495298,0.070710104,0.297878153,0.650509912
E06000047,1,1458,12,11,157,11,37,165,37,94,197,95,160,207,160,69.04166667,30/10/2020,0.038672633,NA,12666,25278,530094,517428,504816,0.023893875,0.047685882,0.232526684,530094,NA,NA,NA,NA,NA,NA,NA,0.011702681,0.057293782,0.068996463,0.159929367,0.24551066,0.001325349,0.01302803,0.070321812,0.230251179,0.475761839
E06000051,0,271,8,0,27,1,1,41,1,19,47,19,65,93,66,24,14/12/2020,0.024459412,NA,3421,7713,323136,319715,315423,0.010586874,0.023869207,0.213021762,323136,NA,NA,NA,NA,NA,NA,NA,0.000736104,0.005743569,0.006479673,0.171392715,0.327859035,0.002360841,0.003096946,0.008840514,0.180233229,0.508092265
E06000054,1,165,5,0,13,0,14,39,14,33,61,33,57,77,57,54,14/11/2020,0.055076064,NA,3020,8389,500024,497004,491635,0.00603971,0.016777195,0.238990528,500024,NA,NA,NA,NA,NA,NA,NA,0.000225558,0.156781372,0.15700693,0.220011647,0.212202793,0.007026394,0.007251952,0.164033324,0.384044971,0.596247764
E06000057,0,292,3,1,61,1,16,39,16,37,80,37,21,33,21,50,18/11/2020,0.032023652,NA,5344,11721,322434,317090,310713,0.016573935,0.036351625,0.209168388,322434,NA,NA,NA,NA,NA,NA,NA,0.003258835,0.110219555,0.113478389,0.183242843,0.10243013,0.002263162,0.005521997,0.115741551,0.298984394,0.401414525
E06000059,0,286,11,0,38,1,4,24,4,7,10,7,21,23,21,34,04/12/2020,0.023537988,NA,2010,5243,378508,376498,373265,0.005310324,0.013851755,0.204650892,378508,NA,NA,NA,NA,NA,NA,NA,0.000610079,0.032168786,0.032778864,0.098672815,0.31615385,0.002289741,0.00289982,0.035068606,0.133741421,0.449895271
E10000001,8,474,23,11,102,15,79,181,81,183,235,189,118,132,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027274327,0.202344723,0.22961905,0.304670582,0.134116647,0.017049042,0.044323369,0.246668092,0.551338674,0.685455321
E10000002,11,473,18,21,102,23,88,137,90,222,280,224,85,99,86,63,05/11/2020,0.050306534,NA,4484,17388,543128,538644,525740,0.008255881,0.032014553,0,543128,NA,NA,NA,NA,NA,NA,NA,0.054894252,0.25209016,0.306984412,0.298869128,0.071927713,0.023412782,0.078307034,0.330397194,0.629266322,0.701194036
E10000003,8,639,29,17,119,18,43,123,50,23,41,24,47,57,47,66,02/11/2020,0.044768538,NA,4620,13777,653537,648917,639760,0.007069225,0.021080673,0.245675455,653537,NA,NA,NA,NA,NA,NA,NA,0.035290153,0.108321541,0.143611693,0.078172524,0.206195968,0.012654273,0.047944425,0.156265966,0.23443849,0.440634458
E10000005,0,82,3,0,2,0,1,4,1,2,9,2,19,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002530065,0.032595523,0.035125588,0.074587963,0.464889966,0.005078114,0.007608179,0.040203702,0.114791665,0.579681631
E10000006,2,205,5,1,7,2,25,38,26,80,95,80,125,136,125,66,02/11/2020,0.037678381,NA,6995,15140,500012,493017,484872,0.013989664,0.030279273,0.212316904,500012,NA,NA,NA,NA,NA,NA,NA,0.008429282,0.261121036,0.269550318,0.377510588,0.172235294,0.010213186,0.018642468,0.279763504,0.657274092,0.829509386
E10000007,0,528,6,4,99,5,19,112,28,19,40,19,49,64,49,50,18/11/2020,0.019980009,NA,12515,28856,802694,790179,773838,0.015591246,0.035948942,0.219627903,802694,NA,NA,NA,NA,NA,NA,NA,0.00947173,0.060428451,0.069900181,0.086347481,0.247030352,0.001668197,0.011139926,0.071568377,0.157915858,0.404946211
E10000008,0,294,14,1,7,1,4,10,4,4,12,4,28,41,28,50,18/11/2020,0.044302996,NA,4891,12750,802375,797484,789625,0.006095654,0.015890326,0.217788441,802375,NA,NA,NA,NA,NA,NA,NA,0.00499197,0.044601117,0.049593087,0.060711368,0.33980684,0.002254521,0.007246491,0.051847608,0.112558976,0.452365816
