,date,ltla_code,rates_sgtf,rates_Nsgtf,excess_growthrate,inf_mov,b117_intro_count_daily,LTLA_name,dateltlacode,date_int,inf_mov_log,inf_mov_st
1,05/10/2020,E06000005,0.04215563,0.041549462,0.000606168,NA,0,Darlington,2020-10-05E06000005,1,NA,NA
2,04/11/2020,E06000005,0.021518414,0.069482606,-0.047964192,NA,0,Darlington,2020-11-04E06000005,31,NA,NA
3,14/12/2020,E06000005,0.101983646,0.034291603,0.067692042,NA,0.285714286,Darlington,2020-12-14E06000005,71,NA,NA
4,14/11/2020,E06000005,-0.059289492,-0.095669454,0.036379962,NA,0,Darlington,2020-11-14E06000005,41,NA,NA
5,06/01/2021,E06000005,0.109943019,0.080060238,0.029882781,NA,0.714285714,Darlington,2021-01-06E06000005,94,NA,NA
6,23/10/2020,E06000005,-0.013455659,0.044135705,-0.057591365,NA,0,Darlington,2020-10-23E06000005,19,NA,NA
7,10/12/2020,E06000005,0.082475316,0.076548775,0.005926541,NA,0,Darlington,2020-12-10E06000005,67,NA,NA
8,17/12/2020,E06000005,0.165829407,0.087226251,0.078603155,NA,0.285714286,Darlington,2020-12-17E06000005,74,NA,NA
9,09/12/2020,E06000005,0.091515633,0.061240048,0.030275584,NA,0,Darlington,2020-12-09E06000005,66,NA,NA
10,13/11/2020,E06000005,-0.00266819,0.004846967,-0.007515156,NA,0,Darlington,2020-11-13E06000005,40,NA,NA
11,08/01/2021,E06000005,-0.039504917,-0.086312204,0.046807287,NA,0.714285714,Darlington,2021-01-08E06000005,96,NA,NA
12,02/12/2020,E06000005,0.057514523,0.039975813,0.017538711,NA,0,Darlington,2020-12-02E06000005,59,NA,NA
13,31/10/2020,E06000005,-0.005046789,-0.059201383,0.054154594,NA,0,Darlington,2020-10-31E06000005,27,NA,NA
14,05/11/2020,E06000005,0.016467247,0.086736261,-0.070269014,NA,0,Darlington,2020-11-05E06000005,32,NA,NA
15,20/11/2020,E06000005,-0.030742336,-0.048714178,0.017971842,NA,0,Darlington,2020-11-20E06000005,47,NA,NA
16,24/10/2020,E06000005,-0.017262826,-0.076780009,0.059517182,NA,0,Darlington,2020-10-24E06000005,20,NA,NA
17,11/12/2020,E06000005,0.060037822,0.038784656,0.021253166,NA,0,Darlington,2020-12-11E06000005,68,NA,NA
18,15/12/2020,E06000005,0.115436102,0.061838618,0.053597484,NA,0.285714286,Darlington,2020-12-15E06000005,72,NA,NA
19,12/11/2020,E06000005,0.03046511,0.062136998,-0.031671888,NA,0,Darlington,2020-11-12E06000005,39,NA,NA
20,05/01/2021,E06000005,0.120818544,0.058830796,0.061987748,NA,0.714285714,Darlington,2021-01-05E06000005,93,NA,NA
21,19/11/2020,E06000005,0.011647601,-0.001230087,0.012877688,NA,0,Darlington,2020-11-19E06000005,46,NA,NA
22,06/12/2020,E06000005,0.010373358,-0.064122024,0.074495382,NA,0,Darlington,2020-12-06E06000005,63,NA,NA
23,29/10/2020,E06000005,0.006434145,0.088787921,-0.082353776,NA,0,Darlington,2020-10-29E06000005,25,NA,NA
24,18/11/2020,E06000005,0.025660581,-0.001261345,0.026921926,NA,0,Darlington,2020-11-18E06000005,45,NA,NA
25,06/11/2020,E06000005,-0.008905309,0.040928964,-0.049834272,NA,0,Darlington,2020-11-06E06000005,33,NA,NA
26,11/11/2020,E06000005,0.04743434,0.073500241,-0.026065901,NA,0,Darlington,2020-11-11E06000005,38,NA,NA
27,02/11/2020,E06000005,0.017420385,0.005589295,0.01183109,NA,0,Darlington,2020-11-02E06000005,29,NA,NA
28,07/01/2021,E06000005,-0.00487847,-0.051141133,0.046262663,NA,0.714285714,Darlington,2021-01-07E06000005,95,NA,NA
29,08/12/2020,E06000005,0.092823048,0.038401368,0.054421679,NA,0,Darlington,2020-12-08E06000005,65,NA,NA
30,25/10/2020,E06000005,-0.022321446,-0.123717047,0.101395601,NA,0,Darlington,2020-10-25E06000005,21,NA,NA
31,07/10/2020,E06000005,0.01495665,0.082464893,-0.067508243,NA,0,Darlington,2020-10-07E06000005,3,NA,NA
32,16/12/2020,E06000005,0.143500629,0.0824526,0.061048028,NA,0.285714286,Darlington,2020-12-16E06000005,73,NA,NA
33,07/11/2020,E06000005,-0.001324794,-0.066391959,0.065067164,NA,0,Darlington,2020-11-07E06000005,34,NA,NA
34,04/01/2021,E06000005,0.073293395,-0.003085067,0.076378462,NA,0.714285714,Darlington,2021-01-04E06000005,92,NA,NA
35,26/11/2020,E06000005,0.057980492,0.028609387,0.029371105,NA,0,Darlington,2020-11-26E06000005,53,NA,NA
36,08/11/2020,E06000005,0.006830536,-0.061974673,0.068805209,NA,0,Darlington,2020-11-08E06000005,35,NA,NA
37,19/12/2020,E06000005,0.07702016,-0.130820974,0.207841135,NA,0.285714286,Darlington,2020-12-19E06000005,76,NA,NA
38,04/12/2020,E06000005,0.044772214,0.013955558,0.030816656,NA,0,Darlington,2020-12-04E06000005,61,NA,NA
39,07/12/2020,E06000005,0.065158385,-0.005657708,0.070816094,NA,0,Darlington,2020-12-07E06000005,64,NA,NA
40,09/11/2020,E06000005,0.035602554,0.029726431,0.005876122,NA,0,Darlington,2020-11-09E06000005,36,NA,NA
41,30/10/2020,E06000005,0.003145892,0.044218813,-0.041072921,NA,0,Darlington,2020-10-30E06000005,26,NA,NA
42,26/10/2020,E06000005,0.020923684,-0.026054515,0.046978199,NA,0,Darlington,2020-10-26E06000005,22,NA,NA
43,25/11/2020,E06000005,0.060734906,0.016422651,0.044312255,NA,0,Darlington,2020-11-25E06000005,52,NA,NA
44,03/11/2020,E06000005,0.000267291,0.044404257,-0.044136966,NA,0,Darlington,2020-11-03E06000005,30,NA,NA
45,21/11/2020,E06000005,-0.064117866,-0.159381217,0.095263351,NA,0,Darlington,2020-11-21E06000005,48,NA,NA
46,05/12/2020,E06000005,0.010561014,-0.090249997,0.100811011,NA,0,Darlington,2020-12-05E06000005,62,NA,NA
47,13/12/2020,E06000005,0.020414101,-0.044420588,0.064834689,NA,0.285714286,Darlington,2020-12-13E06000005,70,NA,NA
48,18/12/2020,E06000005,0.142625248,0.033816229,0.108809019,NA,0.285714286,Darlington,2020-12-18E06000005,75,NA,NA
49,21/10/2020,E06000005,0.008475266,0.121612534,-0.113137268,NA,0,Darlington,2020-10-21E06000005,17,NA,NA
50,27/11/2020,E06000005,0.022898562,-0.010962384,0.033860946,NA,0,Darlington,2020-11-27E06000005,54,NA,NA
51,09/01/2021,E06000005,-0.106758359,-0.173019837,0.066261478,NA,0.714285714,Darlington,2021-01-09E06000005,97,NA,NA
52,28/11/2020,E06000005,-0.017604294,-0.092312927,0.074708633,NA,0,Darlington,2020-11-28E06000005,55,NA,NA
53,12/12/2020,E06000005,0.00655791,-0.056736535,0.063294445,NA,0,Darlington,2020-12-12E06000005,69,NA,NA
54,01/11/2020,E06000005,0.00842442,-0.076686117,0.085110537,NA,0,Darlington,2020-11-01E06000005,28,NA,NA
55,03/12/2020,E06000005,0.072134116,0.051650599,0.020483517,NA,0,Darlington,2020-12-03E06000005,60,NA,NA
56,06/10/2020,E06000005,0.020999005,0.061224776,-0.040225771,NA,0,Darlington,2020-10-06E06000005,2,NA,NA
57,24/11/2020,E06000005,0.040406945,-0.01660227,0.057009215,NA,0,Darlington,2020-11-24E06000005,51,NA,NA
58,22/11/2020,E06000005,-0.051098855,-0.145947665,0.09484881,NA,0,Darlington,2020-11-22E06000005,49,NA,NA
59,08/10/2020,E06000005,0.012019587,0.122653184,-0.110633597,NA,0,Darlington,2020-10-08E06000005,4,NA,NA
60,22/10/2020,E06000005,-0.018191643,0.111157924,-0.129349567,NA,0,Darlington,2020-10-22E06000005,18,NA,NA
61,03/01/2021,E06000005,-0.041380926,-0.117601827,0.076220901,NA,0.714285714,Darlington,2021-01-03E06000005,91,NA,NA
62,30/11/2020,E06000005,0.016678236,-0.036568631,0.053246867,NA,0,Darlington,2020-11-30E06000005,57,NA,NA
63,01/12/2020,E06000005,0.055077075,0.014365734,0.040711341,NA,0,Darlington,2020-12-01E06000005,58,NA,NA
64,23/11/2020,E06000005,0.010996443,-0.069054782,0.080051225,NA,0,Darlington,2020-11-23E06000005,50,NA,NA
65,16/11/2020,E06000005,-0.01432775,-0.049343935,0.035016185,NA,0,Darlington,2020-11-16E06000005,43,NA,NA
66,15/11/2020,E06000005,-0.070179112,-0.109028387,0.038849275,NA,0,Darlington,2020-11-15E06000005,42,NA,NA
67,19/10/2020,E06000007,0.019606316,0.022222744,-0.002616428,NA,0,Warrington,2020-10-19E06000007,15,NA,NA
68,15/10/2020,E06000007,-0.057053126,0.103811306,-0.160864431,NA,0,Warrington,2020-10-15E06000007,11,NA,NA
69,11/10/2020,E06000007,0.087183451,-0.088402577,0.175586029,NA,0,Warrington,2020-10-11E06000007,7,NA,NA
70,18/10/2020,E06000007,0.021914742,-0.056857036,0.078771778,NA,0,Warrington,2020-10-18E06000007,14,NA,NA
71,17/10/2020,E06000007,0.002979775,-0.041545321,0.044525097,NA,0,Warrington,2020-10-17E06000007,13,NA,NA
72,15/12/2020,E06000007,0.111776905,0.059667438,0.052109468,NA,0.714285714,Warrington,2020-12-15E06000007,72,NA,NA
73,25/10/2020,E06000007,-0.004031177,-0.108569076,0.104537899,NA,0,Warrington,2020-10-25E06000007,21,NA,NA
74,30/10/2020,E06000007,0.004956663,0.041354876,-0.036398213,NA,0,Warrington,2020-10-30E06000007,26,NA,NA
75,10/10/2020,E06000007,0.053131927,-0.0466254,0.099757328,NA,0,Warrington,2020-10-10E06000007,6,NA,NA
76,14/12/2020,E06000007,0.100518631,0.021859606,0.078659025,NA,0.714285714,Warrington,2020-12-14E06000007,71,NA,NA
77,23/10/2020,E06000007,-0.015339117,0.045668789,-0.061007906,NA,0,Warrington,2020-10-23E06000007,19,NA,NA
78,09/10/2020,E06000007,0.018800828,0.05839749,-0.039596662,NA,0,Warrington,2020-10-09E06000007,5,NA,NA
