adm2,week_start,B.1.1.7_sequences,other_sequences,proportion_sequences_B.1.1.7
ABERDEEN,2021-01-10,8,0,1
ABERDEEN,2021-01-03,10,6,0.625
ABERDEEN,2020-12-20,1,8,0.1111111111111111
ABERDEEN,2020-12-13,13,3,0.8125
ABERDEEN,2020-12-06,1,8,0.1111111111111111
ABERDEEN,2020-11-29,0,1,0
ABERDEEN,2020-10-04,0,2,0
ABERDEEN,2020-11-15,0,1,0
ABERDEEN,2020-11-08,0,2,0
ABERDEEN,2020-10-18,0,6,0
ABERDEEN,2020-11-01,0,1,0
ABERDEEN,2020-10-11,0,2,0
ABERDEEN,2020-09-20,0,8,0
ABERDEEN,2020-09-27,0,41,0
ABERDEEN,2020-08-30,0,2,0
ABERDEEN,2020-09-13,0,10,0
ABERDEEN,2020-09-06,0,3,0
ABERDEEN,2020-12-27,0,0,0
ABERDEEN,2020-11-22,0,0,0
ABERDEEN,2020-10-25,0,0,0
ABERDEEN,2021-01-17,0,0,0
ABERDEENSHIRE,2021-01-10,3,0,1
ABERDEENSHIRE,2021-01-03,9,9,0.5
ABERDEENSHIRE,2020-12-20,0,3,0
ABERDEENSHIRE,2020-12-13,10,3,0.7692307692307693
ABERDEENSHIRE,2020-12-06,1,5,0.16666666666666666
ABERDEENSHIRE,2020-11-29,0,0,0
ABERDEENSHIRE,2020-10-04,0,1,0
ABERDEENSHIRE,2020-11-15,0,0,0
ABERDEENSHIRE,2020-11-08,0,3,0
ABERDEENSHIRE,2020-10-18,0,3,0
ABERDEENSHIRE,2020-11-01,0,0,0
ABERDEENSHIRE,2020-10-11,0,2,0
ABERDEENSHIRE,2020-09-20,0,2,0
ABERDEENSHIRE,2020-09-27,0,5,0
ABERDEENSHIRE,2020-08-30,0,0,0
ABERDEENSHIRE,2020-09-13,0,2,0
ABERDEENSHIRE,2020-09-06,0,2,0
ABERDEENSHIRE,2020-12-27,4,2,0.6666666666666666
ABERDEENSHIRE,2020-11-22,0,17,0
ABERDEENSHIRE,2020-10-25,0,1,0
ABERDEENSHIRE,2021-01-17,0,0,0
DUNDEE,2021-01-10,0,0,0
DUNDEE,2021-01-03,10,14,0.4166666666666667
DUNDEE,2020-12-20,0,2,0
DUNDEE,2020-12-13,0,2,0
DUNDEE,2020-12-06,0,7,0
DUNDEE,2020-11-29,0,4,0
DUNDEE,2020-10-04,0,11,0
DUNDEE,2020-11-15,0,0,0
DUNDEE,2020-11-08,0,5,0
DUNDEE,2020-10-18,0,19,0
DUNDEE,2020-11-01,0,6,0
DUNDEE,2020-10-11,0,10,0
DUNDEE,2020-09-20,0,9,0
DUNDEE,2020-09-27,0,20,0
DUNDEE,2020-08-30,0,3,0
DUNDEE,2020-09-13,0,11,0
DUNDEE,2020-09-06,0,4,0
DUNDEE,2020-12-27,2,6,0.25
DUNDEE,2020-11-22,0,0,0
DUNDEE,2020-10-25,0,6,0
DUNDEE,2021-01-17,0,0,0
