week_start,movements_out_london,estimated_positivity,proportion_B.1.1.7,proportion_non_B.1.1.7,total_exports,B.1.1.7_exports,non_B.1.1.7_exports
06/12/2020,1513345,0.013112399439000643,0.6442441054091539,0.3557558945908461,19844,12784,7059
13/12/2020,1468886,0.02030244959829083,0.765495459928938,0.23450454007106203,29822,22829,6993
20/12/2020,822501,0.032293452171992885,0.8355520751761942,0.16444792482380577,26561,22193,4368
27/12/2020,668857,0.03827146165502489,0.9092240117130308,0.0907759882869692,25598,23274,2324
03/01/2021,732984,0.03286287565241641,0.9176310415248468,0.08236895847515324,24088,22104,1984
10/01/2021,683915,0.02907610102311894,0.9263157894736842,0.0736842105263158,19886,18420,1465
29/11/2020,1334337,0.009150981763616842,0.4642857142857143,0.5357142857142857,12210,5669,6541
22/11/2020,1112921,0.006863891959324476,0.29900332225913623,0.7009966777408638,7639,2284,5355
01/11/2020,1390734,0.00845127486230146,0.05062305295950156,0.9493769470404985,11753,595,11158
08/11/2020,1025243,0.009784773965872868,0.12819025522041766,0.8718097447795823,10032,1286,8746
15/11/2020,1051915,0.00830119664140937,0.17853107344632768,0.8214689265536723,8732,1559,7173
25/10/2020,1509172,0.007614762170067556,0.023980815347721826,0.9760191846522782,11492,276,11216
18/10/2020,1468788,0.00804264774068509,0.0022271714922049,0.9977728285077951,11813,26,11787
11/10/2020,1554751,0.006195638768423008,0.0,1.0,9633,0,9633
04/10/2020,1546543,0.004316910208185646,0.002257336343115124,0.9977426636568849,6676,15,6661
20/09/2020,1628322,0.002681075732933923,0.0035211267605633804,0.9964788732394366,4366,15,4350
27/09/2020,1566049,0.0032499011146948057,0.002178649237472767,0.9978213507625272,5090,11,5078
06/09/2020,1635732,0.00193639687231506,0.0,1.0,3167,0,3167
13/09/2020,1673514,0.00234291995525502,0.0,1.0,3921,0,3921
30/08/2020,1629324,0.00144162339943713,0.0,1.0,2349,0,2349
