# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 01 09:06:43 CET 2021 [seed=1614585993771]
# TreeTime_270221.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate1	coordinates.traitLikelihood1
0	-4.751245980503854E13	-50272.57672238752	-4.751245975476596E13	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	458968.1491720333	-4.751245975476596E13
10000	-363951.28257144114	-50326.033339063404	-313625.24923237774	1.664976311051201E-11	-3.6279143845484424E-12	-3.6279143845484424E-12	2.3974981844382E-11	0.1815824437881489	6.210877658542736E10	9.398352225813148E9	9.39835222581315E9	4.313231283941088E10	483011.3583705893	-313625.24923237774
20000	-363860.43177449284	-50404.053356226286	-313456.37841826654	1.705148048506973E-11	-3.625507098245533E-12	-3.625507098245533E-12	2.426487202648109E-11	0.17823734772824942	6.0570160347264145E10	9.050018728358505E9	9.050018728358507E9	4.256403685178215E10	481939.3272118877	-313456.37841826654
30000	-363822.2023267249	-50462.40334207882	-313359.7989846461	1.687048247050939E-11	-3.831400207815465E-12	-3.831400207815465E-12	2.449115522345253E-11	0.1884903546466884	6.145866884371948E10	9.614603902163092E9	9.61460390216309E9	4.233517716616095E10	482877.75634485955	-313359.7989846461
40000	-363753.62447871617	-50519.54327806948	-313234.0812006467	1.670544490693969E-11	-3.8181613044951744E-12	-3.8181613044951744E-12	2.415436146513668E-11	0.19007608058275205	6.210449033129779E10	9.817066046668692E9	9.817066046668692E9	4.295220733533033E10	481782.76794744504	-313234.0812006467
50000	-363532.9313965025	-50583.116532162865	-312949.8148643396	1.7461715252597948E-11	-4.119864230708647E-12	-4.119864230708647E-12	2.508395266066304E-11	0.19685274129168967	5.957680346562835E10	9.785074342087889E9	9.785074342087889E9	4.147325550523082E10	482715.44327019615	-312949.8148643396
60000	-363512.898364764	-50639.23700712732	-312873.6613576367	1.7381437797943366E-11	-3.835824284842283E-12	-3.835824284842283E-12	2.5033008564599902E-11	0.18389051586036648	5.954623884643628E10	9.124309147610035E9	9.124309147610037E9	4.134537979883256E10	480759.66551161325	-312873.6613576367
70000	-363392.4992986384	-50703.117716824614	-312689.38158181374	1.782867558990035E-11	-4.081722896236342E-12	-4.081722896236342E-12	2.5988713345569864E-11	0.18962325045624512	5.818144477204079E10	9.137833493501167E9	9.13783349350117E9	3.991340742419789E10	482045.3223909388	-312689.38158181374
80000	-363321.2598669585	-50767.36406680947	-312553.895800149	1.7491396566187636E-11	-4.044208035334606E-12	-4.044208035334606E-12	2.6068731466866813E-11	0.18939185396466704	5.929793780531066E10	9.199266057721685E9	9.199266057721685E9	3.978727338643609E10	481848.8243994356	-312553.895800149
90000	-363357.14817258896	-50855.475611673035	-312501.67256091593	1.7780635527782096E-11	-4.12060105556226E-12	-4.12060105556226E-12	2.544099995383303E-11	0.1937402433837915	5.8434307560953026E10	9.464426313967873E9	9.464426313967873E9	4.083955532192389E10	482997.44223626226	-312501.67256091593
100000	-363314.9914296348	-50890.169107401474	-312424.82232223335	1.8201102893786674E-11	-4.43358697830751E-12	-4.43358697830751E-12	2.5568027587248404E-11	0.20552173964638545	5.736476657005816E10	9.947254680118664E9	9.947254680118664E9	4.083623639941666E10	483501.7363526801	-312424.82232223335
110000	-363309.74975012604	-50943.90283954412	-312365.8469105819	1.764808537942144E-11	-4.142806522456398E-12	-4.142806522456398E-12	2.6061420048412394E-11	0.19317317377906681	5.885977446379451E10	9.35653763708762E9	9.35653763708762E9	3.98582396208995E10	479702.4165660311	-312365.8469105819
